_group,_name,_namespace,_qualName,_dc:relation,_dc:description,_comments,_examples,_required,_type,_thesaurus
Taxon,taxonID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonID,https://dwc.tdwg.org/terms/#dwc:taxonID,An identifier for the set of dwc:Taxon information. May be a global unique identifier or an identifier specific to the data set.,,`8fa58e08-08de-4ac1-b69c-1235340b7001`; `32567`; `https://www.gbif.org/species/212`,false,,
Taxon,scientificNameID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/scientificNameID,https://dwc.tdwg.org/terms/#dwc:scientificNameID,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,,`urn:lsid:ipni.org:names:37829-1:1.3`,false,,
Taxon,acceptedNameUsageID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,https://dwc.tdwg.org/terms/#dwc:acceptedNameUsageID,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.,This term should be used for synonyms or misapplied names to refer to the dwc:taxonID of a dwc:Taxon record that represents the accepted (botanical) or valid (zoological) name. For Darwin Core Archives the related record should be present locally in the same archive.,`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL),false,,
Taxon,parentNameUsageID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/parentNameUsageID,https://dwc.tdwg.org/terms/#dwc:parentNameUsageID,"An identifier for the name usage (documented meaning of the name according to a source) of the direct, most proximate higher-rank parent taxon (in a classification) of the most specific element of the dwc:scientificName.",This term should be used for accepted names to refer to the dwc:taxonID of a dwc:Taxon record that represents the next higher taxon rank in the same taxonomic classification. For Darwin Core Archives the related record should be present locally in the same archive.,`tsn:41074` (ITIS); `urn:lsid:ipni.org:names:30001404-2` (IPNI); `2704173` (GBIF); `6T8N` (COL),false,,
Taxon,originalNameUsageID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/originalNameUsageID,https://dwc.tdwg.org/terms/#dwc:originalNameUsageID,An identifier for the name usage (documented meaning of the name according to a source) in which the terminal element of the dwc:scientificName was originally established under the rules of the associated dwc:nomenclaturalCode.,"This term should be used to refer to the dwc:taxonID of a dwc:Taxon record that represents the usage of the terminal element of the dwc:scientificName as originally established under the rules of the associated dwc:nomenclaturalCode. For example, for names governed by the ICNafp, this term would establish the relationship between a record representing a subsequent combination and the record for its corresponding basionym. Unlike basionyms, however, this term can apply to scientific names at all ranks. For Darwin Core Archives the related record should be present locally in the same archive.",`tsn:41107` (ITIS); `urn:lsid:ipni.org:names:320035-2` (IPNI); `2704179` (GBIF); `6W3C4` (COL),false,,
Taxon,nameAccordingToID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/nameAccordingToID,https://dwc.tdwg.org/terms/#dwc:nameAccordingToID,An identifier for the source in which the specific taxon concept circumscription is defined or implied. See dwc:nameAccordingTo.,,`https://doi.org/10.1016/S0269-915X(97)80026-2`,false,,
Taxon,namePublishedInID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/namePublishedInID,https://dwc.tdwg.org/terms/#dwc:namePublishedInID,An identifier for the publication in which the dwc:scientificName was originally established under the rules of the associated dwc:nomenclaturalCode.,"A citation of the first publication of the name in its given combination, not the basionym / original name. Recombinations are often not published in zoology, in which case dwc:namePublishedInID should be empty.",,false,,
Taxon,taxonConceptID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonConceptID,https://dwc.tdwg.org/terms/#dwc:taxonConceptID,An identifier for the taxonomic concept to which the record refers - not for the nomenclatural details of a dwc:Taxon.,,`8fa58e08-08de-4ac1-b69c-1235340b7001`,false,,
Taxon,scientificName,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/scientificName,https://dwc.tdwg.org/terms/#dwc:scientificName,"The full scientific name, with authorship and date information if known. When forming part of a dwc:Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the dwc:identificationQualifier term.","This term should not contain identification qualifications, which should instead be supplied in the IdentificationQualifier term. When applied to an Organism or Occurrence, this term should be used to represent the scientific name that was applied to the associated Organism in accordance with the Taxon to which it was or is currently identified. Names should be compliant to the most recent nomenclatural code. For example, names of hybrids for algae, fungi and plants should follow the rules of the International Code of Nomenclature for algae, fungi, and plants (Schenzhen Code Articles H.1, H.2 and H.3). Thus, use the multiplication sign `×` (Unicode `U+00D7`, HTML `&times;`) to identify a hybrid, not `x` or `X`, if possible.","`Coleoptera` (order); `Vespertilionidae` (family); `Manis` (genus); `Ctenomys sociabilis` (genus + specificEpithet); `Ambystoma tigrinum diaboli` (genus + specificEpithet + infraspecificEpithet); `Roptrocerus typographi (Györfi, 1952)` (genus + specificEpithet + scientificNameAuthorship); `Quercus agrifolia var. oxyadenia (Torr.) J.T. Howell` (genus + specificEpithet + taxonRank + infraspecificEpithet + scientificNameAuthorship); `×Agropogon littoralis (Sm.) C. E. Hubb.`; `Mentha ×smithiana R. A. Graham`; `Agrostis stolonifera L. × Polypogon monspeliensis (L.) Desf.`",false,,
Taxon,acceptedNameUsage,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/acceptedNameUsage,https://dwc.tdwg.org/terms/#dwc:acceptedNameUsage,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) dwc:Taxon.","The full scientific name, with authorship and date information if known, of the accepted (botanical) or valid (zoological) name in cases where the provided dwc:scientificName is considered by the reference indicated in the dwc:accordingTo property, or of the content provider, to be a synonym or misapplied name. When applied to a dwc:Organism or dwc:Occurrence, this term should be used in cases where a content provider regards the provided dwc:scientificName to be inconsistent with the taxonomic perspective of the content provider. For example, there are many discrepancies within specimen collections and observation datasets between the recorded name (e.g., the most recent identification from an expert who examined a specimen, or a field identification for an observed dwc:Organism), and the name asserted by the content provider to be taxonomically accepted.",`Tamias minimus` (valid name for `Eutamias minimus`),false,,
