_name,_namespace,_qualName,_dc:description,_type,_examples,_dc:relation,_group,_required
germplasmID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#germplasmID,A persistent identifier for a germplasm accession maintained as part of an ex situ genebank collection. Best practice is to use a globally unique and persistent identifier (PID).,string,"URI, DOI, LSID or similar; http://data.gbif.org/occurrences/215969415/",http://terms.tdwg.org/wiki/germplasm:germplasmID,GermplasmAccession,false
germplasmIdentifier,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#germplasmIdentifier,Accession name. Either a registered or other formal designation given to the accession.,string,Rheinische Vorgebirgstrauben; Emma; Avlon,http://terms.tdwg.org/wiki/germplasm:germplasmIdentifier,GermplasmAccession,false
biologicalStatus,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#biologicalStatus,The biological status for a germplasm accession describes the cultivation status and distinguish wild and primitive cultivars from modern cultivars and breeding lines (material under development).,string,Wild; Crop wild relative (CWR); Primitive; Traditional cultivar; Landrace; Breeding line; Genetic stock; Modern cultivar; 100; 110; 120; 200; 300; 400; 410; 411; 412; 413; 414; 415; 420; 500; 999,http://terms.tdwg.org/wiki/germplasm:biologicalStatus,GermplasmAccession,false
storageCondition,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmType#storageCondition,Type of germplasm storage conditions.,string,"10; 11; 12; 13; 20; 30; 40; 99, refer to FAO/IPGRI Genebank Standards 1994 for details on storage type.",http://terms.tdwg.org/wiki/germplasm:storageCondition,GermplasmAccession,false
collectingInstituteID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#collectingInstituteID,Collecting institute ID.,string,"SWE054; urn:lsid:biocol.org:col:35293, an established institute code for the collecting/gathering institute.",http://terms.tdwg.org/wiki/germplasm:collectingInstituteID,CollectingEvent,false
latitude,http://www.w3.org/2003/01/geo/wgs84_pos#,http://www.w3.org/2003/01/geo/wgs84_pos#lat,Latitude of the collecting site for the source germplasm material.,decimal,-41.0983423,http://terms.tdwg.org/wiki/geo:lat,CollectingEvent,false
longitude,http://www.w3.org/2003/01/geo/wgs84_pos#,http://www.w3.org/2003/01/geo/wgs84_pos#lon,Longitude of the collecting site for the source germplasm material.,decimal,-121.1761111,http://terms.tdwg.org/wiki/geo:lon,CollectingEvent,false
altitude,http://www.w3.org/2003/01/geo/wgs84_pos#,http://www.w3.org/2003/01/geo/wgs84_pos#alt,Altitude of the collecting site for the source germplasm material.,integer,100,http://terms.tdwg.org/wiki/geo:alt,CollectingEvent,false
locationID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/locationID,An identifier for the set of location information (data associated with dcterms:Location). May be a globally unique identifier or an identifier specific to the data set.,string,http://sws.geonames.org/2726528/,http://terms.tdwg.org/wiki/dwc:locationID,CollectingEvent,false
breedingID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#breedingID,Persistent identifier for the source germplasm developed by a plant breeder.,string,"Persistent identifier (PID) such as a URI, DOI, LSID or similar.",http://terms.tdwg.org/wiki/germplasm:breedingID,BreedingEvent,false
breedingIdentifier,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#breedingIdentifier,The germplasm name or accession number used by the plant breeder.,string,"Could be the breeders catalog number, or the name under which a cultivar was marketed.",http://terms.tdwg.org/wiki/germplasm:breedingIdentifier,BreedingEvent,false
breedingYear,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#breedingYear,The year a germplasm accession was developed by a plant breeder. Could be the year the cultivar was released.,integer,2010,http://terms.tdwg.org/wiki/germplasm:breedingYear,BreedingEvent,false
breedingCountry,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#breedingCountry,Name of the country in which the breeding event took place.,string,Denmark; Finland; Iceland; Norway; Sweden,http://terms.tdwg.org/wiki/germplasm:breedingCountry,BreedingEvent,false
breedingCountryCode,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#breedingCountryCode,Code for the country in which the breeding event took place.,string,DNK; FIN; ISL; NOR; SWE,http://terms.tdwg.org/wiki/germplasm:breedingCountryCode,BreedingEvent,false
breedingInstituteID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#breedingInstituteID,Breeding institute code.,string,SWE006; urn:lsid:biocol.org:col:35293,http://terms.tdwg.org/wiki/germplasm:breedingInstituteID,BreedingEvent,false
breedingInstitute,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#breedingInstitute,"Breeder institute name. If the FAO WIEWS institute code is available, this term is not to be reported.",string,Svalöf Weibull AB Cereal Breeding Department,http://terms.tdwg.org/wiki/germplasm:breedingInstitute,BreedingEvent,false
breedingPerson,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#breedingPerson,Name of the plant breeder.,string,Gregor Mendel; Luther Burbank; Nils Herman Nilsson-Ehle,http://terms.tdwg.org/wiki/germplasm:breedingPerson,BreedingEvent,false
ancestralData,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#ancestralData,"Ancestral data, ANCEST. Information about either pedigree or other description of ancestral information.",string,"A pedigree, Hanna/7*Atlas//Turk/8*Atlas; or a description, mutation found in Hanna; selection from Irene.",http://terms.tdwg.org/wiki/germplasm:ancestralData,BreedingEvent,false
purdyPedigree,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#purdyPedigree,Ancestral information following the purdy pedigree format.,string,Hanna/7*Atlas//Turk/8*Atlas,http://dx.doi.org/doi:10.2135/cropsci1968.0011183X000800040002x,BreedingEvent,false
breedingRemarks,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#breedingRemarks,Remarks to the breeding event.,string,Supplementary comments and remarks related to the breeding event,http://purl.org/germplasm/germplasmTerm#breedingRemarks,BreedingEvent,false
acquisitionID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#acquisitionID,An identifier for the event when germplasm material was acquired and included in the genebank collection.,string,"URI, DOI, LSID or similar",http://terms.tdwg.org/wiki/germplasm:acquisitionID,AcquisitionEvent,false
donorsID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#donorsID,An identifier for the source germplasm material that was included in your genebank collection.,string,"http://data.gbif.org/occurrences/164390781/; URI, DOI, LSID or similar",http://terms.tdwg.org/wiki/germplasm:donorsID,AcquisitionEvent,false
donorsIdentifier,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#donorsIdentifier,An identifier for the source accession donated to your genebank collection. Could be an unique and stable local identifier specific to the dataset.,string,NGB1,http://terms.tdwg.org/wiki/germplasm:donorsIdentifier,AcquisitionEvent,false
donorInstituteID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#donorInstituteID,Donor institute code.,string,DEU146; NLD037; SWE054; urn:lsid:biocol.org:col:35293,http://terms.tdwg.org/wiki/germplasm:donorInstituteID,AcquisitionEvent,false
donorInstitute,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#donorInstitute,"Donor institute name. If the FAO WIEWS institute code is available, this term is not to be reported.",string,Nordic Genetic Resources Center (NordGen),http://terms.tdwg.org/wiki/germplasm:donorInstitute,AcquisitionEvent,false
acquisitionDate,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#acquisitionDate,"Acquisition date, date when the germplasm material (accession) entered the genebank collection.",string,2010-05-10,http://terms.tdwg.org/wiki/germplasm:acquisitionDate,AcquisitionEvent,false
acquisitionSource,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#acquisitionSource,Collecting/acquisition source.,integer,10; 11; 12; 13; 14; 15; 20; 21; 22; 23; 24; 25; 26; 27; 28; 30; 40; 50; 60; 61; 62; 99,http://terms.tdwg.org/wiki/germplasm:acquisitionSource,AcquisitionEvent,false
acquisitionRemarks,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#acquisitionRemarks,Remarks to the acquisition event.,,General remarks related to the acquisition of the germplasm accession.,http://terms.tdwg.org/wiki/germplasm:acquisitionRemarks,AcquisitionEvent,false
safetyDuplicationID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#safetyDuplicationID,A persistent identifier for the genebank accession in the safe duplication storage.,string,"URI, DOI, LSID or similar (for the accession in the safety duplication storage)",http://terms.tdwg.org/wiki/germplasm:safetyDuplicationID,SafetyDuplication,false
safetyDuplicationDate,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#safetyDuplicationDate,Date of safety duplication.,string,2008-02-26,http://terms.tdwg.org/wiki/germplasm:safetyDuplicationDate,SafetyDuplication,false
safetyDuplicationInstituteID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#safetyDuplicationInstituteID,Location of safety duplicates. Persistent identifier for the institute where a safety duplicate of the accession is maintained.,string,NOR051; urn:lsid:biocol.org:col:35294,http://terms.tdwg.org/wiki/germplasm:safetyDuplicationInstituteID,SafetyDuplication,false
safetyDuplicationInstitute,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#safetyDuplicationInstitute,Location or institute for storage of safety duplicates.,string,The name of the safety duplication institute,http://terms.tdwg.org/wiki/germplasm:safetyDuplicationInstitute,SafetyDuplication,false
safetyDuplicationRemarks,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#safetyDuplicationRemarks,Remarks to the safety duplication event.,,General remarks related to the safety duplication of the germplasm material.,http://terms.tdwg.org/wiki/germplasm:safetyDuplicationRemarks,SafetyDuplication,false
treatyOrRegulationID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#treatyOrRegulationID,An identifier for the germplasm regulation or treaty.,string,"URI, DOI, LSID or similar",http://terms.tdwg.org/wiki/germplasm:treatyOrRegulationID,TreatyOrRegulation,false
treatyOrRegulationName,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#treatyOrRegulationName,Regulation or treaty name.,string,The International Treaty for Plant Genetic Resources for Food and Agriculture (ITPGRFA),http://terms.tdwg.org/wiki/germplasm:treatyOrRegulationName,TreatyOrRegulation,false
treatyOrRegulationGoverningBody,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#treatyOrRegulationGoverningBody,Governing body for the regulation or treaty.,string,Use the WIEWS institute code when possible,http://terms.tdwg.org/wiki/germplasm:treatyOrRegulationGoverningBody,TreatyOrRegulation,false
mlsStatus,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#mlsStatus,The status of a germplasm accession with regards to the Multilateral System (MLS) of the International TReaty on Plant Genetic Resources for Food and Agriculture.,string,No; Yes; Other,http://terms.tdwg.org/wiki/germplasm:mlsStatus,TreatyOrRegulation,false
