_name,_namespace,_qualName,_dc:description,_type,_examples,_dc:relation,_group,_required
measurementID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementID,"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a globally unique identifier or an identifier specific to the data set.",string,"URI, DOI, LSID or similar",http://terms.tdwg.org/wiki/dwc:measurementID,MeasurementScore,false
measurementValue,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementValue,"The value of the measurement, fact, characteristic, or assertion.",string,0.01,http://terms.tdwg.org/wiki/dwc:measurementValue,MeasurementScore,false
measurementUnit,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementUnit,The units associated with the measurementValue. Recommended best practice is to use the International System of Units (SI).,string,mm; C; km; ha,http://terms.tdwg.org/wiki/dwc:measurementUnit,MeasurementScore,false
measurementAccuracy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementAccuracy,The description of the potential error associated with the measurementValue.,string,0.01; normal distribution with variation of 2 m,http://terms.tdwg.org/wiki/dwc:measurementAccuracy,MeasurementScore,false
measurementDeterminedDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,"The date on which the MeasurementOrFact was made. Recommended best practice is to use an encoding scheme, such as ISO 8601_2004(E).",string,2010-06-10,http://terms.tdwg.org/wiki/dwc:measurementDeterminedDate,MeasurementScore,false
measurementDeterminedBy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,"A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the MeasurementOrFact.",string,"Javier de la Torre, Julie Woodruff, Eileen Lacey",http://terms.tdwg.org/wiki/dwc:measurementDeterminedBy,MeasurementScore,false
measurementType,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementType,"The nature of the measurement, fact, characteristic, or assertion. Recommended best practice is to use a controlled vocabulary.",,"""tail length"", ""temperature"", ""trap line length"", ""survey area"", ""trap type""",http://rs.tdwg.org/dwc/terms/index.htm#measurementType,MeasurementScore,false
measurementMethod,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementMethod,"A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.",,"""minimum convex polygon around burrow entrances"" for a home range area, ""barometric altimeter"" for an elevation",http://rs.tdwg.org/dwc/terms/index.htm#measurementMethod,,false
measurementRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/measurementRemarks,Comments or notes accompanying the MeasurementOrFact.,,tip of tail missing,http://rs.tdwg.org/dwc/terms/index.htm#measurementRemarks,MeasurementScore,false
germplasmID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#germplasmID,A persistent identifier for a germplasm accession maintained as part of an ex situ genebank collection. Best practice is to use a globally unique and persistent identifier (PID).,string,"URI, DOI, LSID or similar; http://data.gbif.org/occurrences/215969415/",http://terms.gbif.org/wiki/germplasm:germplasmID,GermplasmAccession,false
germplasmIdentifier,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#germplasmIdentifier,Accession name. Either a registered or other formal designation given to the accession.,string,Rheinische Vorgebirgstrauben; Emma; Avlon,http://terms.gbif.org/wiki/germplasm:germplasmIdentifier,GermplasmAccession,false
measurementTraitID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTraitID,Persistent identifier for a trait descriptor used to identify the description of the measurement method.,string,"URI, DOI, LSID or similar",http://terms.gbif.org/wiki/germplasm:measurementTraitID,MeasurementTrait,false
measurementTraitIdentifier,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTraitIdentifier,Local identifier for a trait descriptor used to identify the description of the measurement method. This could be the persistent URL to an external ontology where the trait term is declared.,string,"URI, DOI, LSID or similar",http://terms.tdwg.org/wiki/germplasm:measurementTraitIdentifier,MeasurementTrait,false
measurementTraitName,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTraitName,English name used to identify the trait measurement method.,string,stem rust susceptibility; powdery mildew susceptibility; plant height; ear density,http://terms.gbif.org/wiki/germplasm:measurementTraitName,MeasurementTrait,false
measurementTrialID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTrialID,Persistent identifier used to identify a trait measurement trial.,string,"URI, DOI, LSID or similar",http://terms.gbif.org/wiki/germplasm:measurementTrialID,MeasurementTrial,false
measurementTrialIdentifier,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementTrialIdentifier,Unique number in the dataset for the measurement trial.,string,Local identifier for the experiment or project activity,http://terms.gbif.org/wiki/germplasm:measurementTrialIdentifier,MeasurementTrial,false
measurementByInstituteID,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementByInstituteID,"Trait observation determined by institute code, INSTCODE. FAO WIEWS institute code for the institute performing the observation/measurement.",string,DEU146; NLD037; SWE054; urn:lsid:biocol.org:col:35293,http://terms.tdwg.org/wiki/germplasm:measurementByInstituteID,MeasurementScore,false
measurementGrowthStage,http://purl.org/germplasm/germplasmTerm#,http://purl.org/germplasm/germplasmTerm#measurementGrowthStage,The growth stage of the plant when the trait observation or measurement was made.,string,flowering; heading; ripening,http://terms.tdwg.org/wiki/germplasm:measurementGrowthStage,MeasurementScore,false
