_group,_name,_namespace,_qualName,_dc:relation,_dc:description,_examples,_required,_type
Amplification,amplificationDate,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/amplificationDate,http://terms.tdwg.org/wiki/ggbn:amplificationDate,Date when the amplification was carried out,"2008-10-17, May 2007",false,
Amplification,amplificationStaff,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/amplificationStaff,http://terms.tdwg.org/wiki/ggbn:amplificationStaff,Person or Institution who performed the amplification,"Jon Doe, NMNH",false,
Amplification,amplificationSuccess,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/amplificationSuccess,http://terms.tdwg.org/wiki/ggbn:amplificationSuccess,true/false or yes/no whether the ampliciation was successful in general; highly recommended to report unsuccessful runs,"yes, no, true, false",false,
Amplification,amplificationSuccessDetails,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/amplificationSuccessDetails,http://terms.tdwg.org/wiki/ggbn:amplificationSuccessDetails,"Details about the amplification, e.g. including why it has failed",,false,
Amplification,amplificationMethod,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/amplificationMethod,http://terms.tdwg.org/wiki/ggbn:amplificationMethod,Method used for amplification,,false,
Amplification,primerSequenceForward,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/primerSequenceForward,http://terms.tdwg.org/wiki/ggbn:primerSequenceForward,Sequence of forward primer used for this amplification,,false,
Amplification,primerNameForward,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/primerNameForward,http://terms.tdwg.org/wiki/ggbn:primerNameForward,Name of forward primer used for this amplification,,false,
Amplification,primerReferenceCitationForward,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/primerReferenceCitationForward,http://terms.tdwg.org/wiki/ggbn:primerReferenceCitationForward,First reference of the primer,,false,
Amplification,primerReferenceLinkForward,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/primerReferenceLinkForward,http://terms.tdwg.org/wiki/ggbn:primerReferenceLinkForward,Link to the first reference of the primer,,false,uri
Amplification,primerSequenceReverse,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/primerSequenceReverse,http://terms.tdwg.org/wiki/ggbn:primerSequenceReverse,Sequence of reverse primer used for this amplification,,false,
Amplification,primerNameReverse,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/primerNameReverse,http://terms.tdwg.org/wiki/ggbn:primerNameForward,Name of reverse primer used for this amplification,,false,
Amplification,primerReferenceCitationReverse,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/primerReferenceCitationReverse,http://terms.tdwg.org/wiki/ggbn:primerReferenceCitationReverse,First reference of the primer,,false,
Amplification,primerReferenceLinkReverse,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/primerReferenceLinkReverse,http://terms.tdwg.org/wiki/ggbn:primerReferenceURIForward,Link to the first reference of the primer,,false,uri
