_name,_namespace,_qualName,_dc:relation,_dc:description,_examples,_required,_thesaurus
locationID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/locationID,http://rs.gbif.org/areas/,"A code for the named area this distributon record is about. Use a prefix for each code to indicate the source of the code, see http://rs.gbif.org/areas/ for list of coding schemes and their recommended prefix.",TDWG:AGS-TF; ISO:AR; WOEID:564721,false,
locality,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/locality,,The verbatim name of the area this distributon record is about.,Patagonia,false,
countryCode,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/countryCode,,"ISO 3166 alpha 2 or alpha 3 country codes the area belongs to or as an alternative for a locationID if the area is a country. For multiple countries separate values with a comma "",""","""AR""; ""JPN""; ""US,CA,MX""",false,
lifeStage,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/lifeStage,,The distribution information pertains solely to a specific life stage of the taxon.,adult,false,http://rs.gbif.org/vocabulary/gbif/life_stage.xml
occurrenceStatus,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceStatus,,Statement about the presence or absence of the taxon in the given area.,"""present"", ""absent""",false,http://rs.gbif.org/vocabulary/gbif/distribution_status_2020-07-15.xml
establishmentMeans,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/establishmentMeans,,"Statement about whether the taxon has been introduced to the given area and time through the direct or indirect activity of modern humans. Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/em/. For details, refer to https://doi.org/10.3897/biss.3.38084","""native"", ""nativeReintroduced"", ""introduced"", ""introducedAssistedColonisation"", ""vagrant"", ""uncertain""",false,http://rs.gbif.org/vocabulary/dwc/establishment_means_2022-02-02.xml
degreeOfEstablishment,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/degreeOfEstablishment,,"The degree to which the taxon survives, reproduces, and expands its range at the given area and time. Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/doe/. For details, refer to https://doi.org/10.3897/biss.3.38084","""native"", ""captive"", ""cultivated"", ""released"", ""failing"", ""casual"", ""reproducing"", ""established"", ""colonising"", ""invasive"", ""widespreadInvasive""",false,http://rs.gbif.org/vocabulary/dwc/degree_of_establishment_2022-02-02.xml
pathway,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/pathway,,"The process by which the taxon came to be in the given area at the given time. Recommended best practice is to use controlled value strings from the controlled vocabulary designated for use with this term, listed at http://rs.tdwg.org/dwc/doc/pw/. For details, refer to https://doi.org/10.3897/biss.3.38084","""releasedForUse"", ""otherEscape"", ""transportContaminant"", ""transportStowaway"", ""corridor"", ""unaided""",false,http://rs.gbif.org/vocabulary/dwc/pathway_2022-02-02.xml
threatStatus,http://iucn.org/terms/,http://iucn.org/terms/threatStatus,,Threat status of a species as defined by IUCN: https://www.iucnredlist.org/resources/categories-and-criteria,"""EX"" ""EW"" ""CR""",false,http://rs.gbif.org/vocabulary/iucn/threat_status.xml
appendixCITES,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/appendixCITES,https://cites.org/eng/app/appendices.php,"The CITES (Convention on International Trade in Endangered Species of Wild Fauna and Flora) Appendix number the taxa is listed. It is possible to have different appendix numbers for different areas, but ""global"" as an area is also valid if its the same worldwide",II,false,http://rs.gbif.org/vocabulary/un/cites_appendix.xml
eventDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/eventDate,,"Relevant temporal context for this entire distribution record including all properties preferrably given as a year range or single year on which the distribution record is valid. For the same area and taxon there could therefore be several records with different temporal context, e.g. in 5 year intervalls for invasive species.","""1930""; ""1939-1945""",false,
startDayOfYear,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/startDayOfYear,,Seasonal temporal subcontext within the eventDate context. Useful for migratory species. The earliest ordinal day of the year on which the distribution record is valid. Numbering starts with 1 for 1 January and ends with 365 or 366 for 31 December.,"""90""",false,
endDayOfYear,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/endDayOfYear,,Seasonal temporal subcontext within the eventDate context. The latest ordinal day of the year on which the distribution record is valid.,"""120""",false,
source,http://purl.org/dc/terms/,http://purl.org/dc/terms/source,,"Source reference for this distribution record. Can be proper publication citation, a webpage URL, etc.","""Euro+Med Plantbase - the information resource for Euro-Mediterranean plant diversity (2006-). Published on the Internet http://ww2.bgbm.org/EuroPlusMed/ July, 2009""",false,
occurrenceRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceRemarks,,Comments or notes about the distribution.,"""Excluded because of misidentification""",false,
datasetID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetID,http://rs.tdwg.org/dwc/terms/index.htm#datasetID,An identifier for a subset of data.,,false,
