_name,_namespace,_qualName
GermplasmID,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmID
BiologicalStatusOfSample,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/BiologicalStatusOfSample
BiologicalStatusOfSampleCode,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/BiologicalStatusOfSampleCode
GermplasmIdentifier,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmIdentifier
CollectingInstituteCode,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/CollectingInstituteCode
AncestralData,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/AncestralData
PurdyPedigree,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/PurdyPedigree
TypeOfStorage,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/TypeOfStorage
LocationOfSafetyDuplication,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/LocationOfSafetyDuplication
SafetyDuplicationID,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/SafetyDuplicationID
SafetyDuplicationInstituteCode,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/SafetyDuplicationInstituteCode
SafetyDuplicationInstitute,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/SafetyDuplicationInstitute
SafetyDuplicationDate,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/SafetyDuplicationDate
GermplasmTreatiesAndRegulations,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmTreatiesAndRegulations
GermplasmRegulationID,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/GermplasmRegulationID
TreatyOrRegulationName,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/TreatyOrRegulationName
TreatyOrRegulationGoverningBody,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/TreatyOrRegulationGoverningBody
SampleAcquisition,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/SampleAcquisition
SampleAcquisitionID,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/SampleAcquisitionID
DonorsSampleIdentifier,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/DonorsSampleIdentifier
SampleAcquisitionSource,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/SampleAcquisitionSource
SampleAcquisitionDate,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/SampleAcquisitionDate
DonorInstituteCode,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/DonorInstituteCode
DonorInstitute,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/DonorInstitute
SampleAcquisitionRemarks,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/SampleAcquisitionRemarks
BreedingEventGroup,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/BreedingEventGroup
BreedingEventID,http://rs.nordgen.org/dwc/germplasm/0.1/terms/,http://rs.nordgen.org/dwc/germplasm/0.1/terms/BreedingEventID
