_group,_name,_namespace,_qualName,_dc:relation,_dc:description,_comments,_examples,_required,_type,_thesaurus
Identification,identificationID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationID,https://dwc.tdwg.org/terms/#dwc:identificationID,An identifier for the dwc:Identification (the body of information associated with the assignment of a scientific name). May be a global unique identifier or an identifier specific to the data set.,,`9992`,false,,
Identification,verbatimIdentification,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimIdentification,https://dwc.tdwg.org/terms/#dwc:verbatimIdentification,A string representing the taxonomic identification as it appeared in the original record.,"This term is meant to allow the capture of an unaltered original identification/determination, including identification qualifiers, hybrid formulas, uncertainties, etc. This term is meant to be used in addition to dwc:scientificName (and dwc:identificationQualifier etc.), not instead of it.",`Peromyscus sp.`; `Ministrymon sp. nov. 1`; `Anser anser × Branta canadensis`; `Pachyporidae?`; `Potentilla × pantotricha Soják`; `Aconitum pilipes × A. variegatum`; `Lepomis auritus x cyanellus`,false,,
Identification,identificationQualifier,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationQualifier,https://dwc.tdwg.org/terms/#dwc:identificationQualifier,"A brief phrase or a standard term (""cf."", ""aff."") to express the determiner's doubts about the dwc:Identification.","This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","`aff. agrifolia var. oxyadenia` (for `Quercus aff. agrifolia var. oxyadenia` with accompanying values `Quercus` in genus, `agrifolia`  in specificEpithet, `oxyadenia`  in infraspecificEpithet, and `var.` in taxonRank); `cf. var. oxyadenia` (for `Quercus agrifolia cf. var. oxyadenia` with accompanying values `Quercus` in genus, `agrifolia` in specificEpithet, `oxyadenia` in infraspecificEpithet, and `var.` in taxonRank)",false,,
Identification,typeStatus,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/typeStatus,https://dwc.tdwg.org/terms/#dwc:typeStatus,"A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.","Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","`holotype of Ctenomys sociabilis. Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388`; `holotype of Pinus abies | holotype of Picea abies`",false,,
Identification,identifiedBy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identifiedBy,https://dwc.tdwg.org/terms/#dwc:identifiedBy,"A list (concatenated and separated) of names of people, groups, or organizations who assigned the dwc:Taxon to the subject.","Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`James L. Patton`; `Theodore Pappenfuss | Robert Macey`,false,,
Identification,identifiedByID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identifiedByID,https://dwc.tdwg.org/terms/#dwc:identifiedByID,"A list (concatenated and separated) of the globally unique identifier for the person, people, groups, or organizations responsible for assigning the dwc:Taxon to the subject.","Recommended best practice is to provide a single identifier that disambiguates the details of the identifying agent. If a list is used, the order of the identifiers on the list should not be assumed to convey any semantics. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).",`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people),false,,
Identification,dateIdentified,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/dateIdentified,https://dwc.tdwg.org/terms/#dwc:dateIdentified,The date on which the subject was determined as representing the dwc:Taxon.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC); `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909); `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007),false,,
Identification,identificationReferences,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationReferences,https://dwc.tdwg.org/terms/#dwc:identificationReferences,"A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the dwc:Identification.",Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`Aves del Noroeste Patagonico. Christie et al. 2004.`; `Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata). Herpetologica, 53(1), 30-49.`",false,,
Identification,identificationVerificationStatus,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationVerificationStatus,https://dwc.tdwg.org/terms/#dwc:identificationVerificationStatus,A categorical indicator of the extent to which the taxonomic identification has been verified to be correct.,"Recommended best practice is to use a controlled vocabulary such as that used in HISPID and ABCD. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","`0` (""unverified"" in HISPID/ABCD).",false,,
Identification,identificationRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationRemarks,https://dwc.tdwg.org/terms/#dwc:identificationRemarks,Comments or notes about the dwc:Identification.,,`Distinguished between Anthus correndera and Anthus hellmayri based on the comparative lengths of the uñas.`,false,,
