_name,_namespace,_qualName,_dc:description,_examples,_type,_required,_dc:relation
identifier,http://purl.org/dc/terms/,http://purl.org/dc/terms/identifier,"The public URL that identifies and locates the image file directly, not a html page.",http://farm6.static.flickr.com/5127/5242866958_98afd8cbce_o.jpg,uri,true,
references,http://purl.org/dc/terms/,http://purl.org/dc/terms/references,A html webpage that shows the image or its metadata. This link should be used for html based image viewers like FSI and should be used as a source link wherever the image is shown.,http://www.flickr.com/photos/victorsaavedramartinez/1866107071/,uri,false,http://rs.tdwg.org/dwc/terms/index.htm#dcterms:references
title,http://purl.org/dc/terms/,http://purl.org/dc/terms/title,The image title,Andorinha-do-rio (Tachycineta albiventer),,,
description,http://purl.org/dc/terms/,http://purl.org/dc/terms/description,A longer description for this image,"Female Tachycineta albiventer photographed in the Amazon, Brazil, in November 2010.",,,
spatial,http://purl.org/dc/terms/,http://purl.org/dc/terms/spatial,The locality this picture was taken at,"Görlitzer Park, Berlin",,false,
latitude,http://www.w3.org/2003/01/geo/wgs84_pos#,http://www.w3.org/2003/01/geo/wgs84_pos#latitude,"The WGS84 latitude in decimal degrees of the location the image was taken. A decimal number ranging from -90 through 90. Decimal fractions of a degree should be expressed to the precision available. Latitudes north of the equator MAY be specified by a plus sign (+), or by the absence of a minus sign (-).  Latitudes south of the Equator MUST be designated by a minus sign (-) preceding the digits designating degrees.",52.496451,decimal,false,http://www.w3.org/2003/01/geo/wgs84_pos#
longitude,http://www.w3.org/2003/01/geo/wgs84_pos#,http://www.w3.org/2003/01/geo/wgs84_pos#longitude,"The WGS84 longitude in decimal degrees of the location the image was taken. A decimal number ranging from -180 through 180. Decimal fractions of a degree should be expressed to the precision available. Longitudes east of the prime meridian shall be specified by a plus sign (+), or by the absence of a minus sign (-). Longitudes west of the prime meridian MUST be designated by a minus sign (-) preceding the digits designating degrees.",13.437732,decimal,false,http://www.w3.org/2003/01/geo/wgs84_pos#
format,http://purl.org/dc/terms/,http://purl.org/dc/terms/format,The format the image is exposed in,jpeg,,,
created,http://purl.org/dc/terms/,http://purl.org/dc/terms/created,The date and time this image was taken,2010-09-29,date,,
creator,http://purl.org/dc/terms/,http://purl.org/dc/terms/creator,The person that took the image,David Remsen,,,
contributor,http://purl.org/dc/terms/,http://purl.org/dc/terms/contributor,Any contributor in addition to the creator that helped in taking the image,David Beckham,,,
publisher,http://purl.org/dc/terms/,http://purl.org/dc/terms/publisher,An entity responsible for making the image available.,Encyclopedia of Life,,,
audience,http://purl.org/dc/terms/,http://purl.org/dc/terms/audience,A class or description for whom the image is intended or useful,"""experts"", ""general public"", ""children""",,false,
license,http://purl.org/dc/terms/,http://purl.org/dc/terms/license,License for this image. Can be text or a url like creative commons uses,http://creativecommons.org/licenses/by-nc-sa/2.0/deed.en,,,
rightsHolder,http://purl.org/dc/terms/,http://purl.org/dc/terms/rightsHolder,A person or organization owning or managing rights over the image.,,,false,
datasetID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetID,An identifier for a subset of data.,,,false,http://rs.tdwg.org/dwc/terms/index.htm#datasetID
