_group,_name,_namespace,_qualName,_dc:relation,_dc:description,_examples,_required,_type,_thesaurus
MaterialSample,materialSampleType,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/materialSampleType,http://terms.tdwg.org/wiki/ggbn:materialSampleType,"Classification of kind of physical sample in addition to BasisOfRecord/RecordBasis and Preparation Type. Please use preparationType for further specification such as ""leg"",""blood"",""gDNA"",""axenic culture"". Equal to KindOfUnit in ABCD!","tissue, culture strain, specimen, DNA, RNA, Protein. ",true,,
MaterialSample,concentration,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/concentration,http://terms.tdwg.org/wiki/ggbn:concentration,Concentration of DNA (weight ng/volume µl),67.5,false,decimal,
MaterialSample,concentrationUnit,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/concentrationUnit,http://terms.tdwg.org/wiki/ggbn:concentrationUnit,Unit used for concentration measurement,ng/µl,false,,
MaterialSample,methodDeterminationConcentrationAndRatios,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/methodDeterminationConcentrationAndRatios,http://terms.tdwg.org/wiki/ggbn:methodDeterminationConcentrationAndRatios,Description of method used for concentration measurement,"Nanodrop, Qubit",false,,
MaterialSample,ratioOfAbsorbance260_230,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/ratioOfAbsorbance260_230,http://terms.tdwg.org/wiki/ggbn:ratioOfAbsorbance260_230,"Ratio of absorbance at 260 nm and 230 nm assessing DNA purity (mostly secondary measure, indicates mainly EDTA, carbohydrates, phenol), (DNA samples only).",1.89,false,decimal,
MaterialSample,ratioOfAbsorbance260_280,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/ratioOfAbsorbance260_280,http://terms.tdwg.org/wiki/ggbn:ratioOfAbsorbance260_280,"Ratio of absorbance at 280 nm and 230 nm assessing DNA purity (mostly secondary measure, indicates mainly EDTA, carbohydrates, phenol), (DNA samples only).",1.91,false,decimal,
MaterialSample,volume,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/volume,http://terms.tdwg.org/wiki/ggbn:volume,Volume of sample,"30, 150",false,decimal,
MaterialSample,volumeUnit,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/volumeUnit,http://terms.tdwg.org/wiki/ggbn:volumeUnit,Unit used for volume measurement,"µl, ml",false,,
MaterialSample,weight,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/weight,http://terms.tdwg.org/wiki/ggbn:weight,Weight of sample,10,false,decimal,
MaterialSample,weightUnit,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/weightUnit,http://terms.tdwg.org/wiki/ggbn:weightUnit,Unit used for weight measurement,"ng, g",false,,
MaterialSample,methodDeterminationWeight,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/methodDeterminationWeight,http://terms.tdwg.org/wiki/ggbn:methodDeterminationWeight,Description of method used for weight measurement,"Agarose gel, bioanalyzer, tape station",false,,
MaterialSample,purificationMethod,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/purificationMethod,http://terms.tdwg.org/wiki/ggbn:purificationMethod,DNA purification kit (company/product name) or protocol.,QIAquick Purification Kit Qiagen,false,,
MaterialSample,qualityCheckDate,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/qualityCheckDate,http://terms.tdwg.org/wiki/ggbn:qualityCheckDate,Date of quality check (e.g. Nanodrop measurement (DNA)),2008-11-27,false,,
MaterialSample,quality,http://data.ggbn.org/schemas/ggbn/terms/,http://data.ggbn.org/schemas/ggbn/terms/quality,http://terms.tdwg.org/wiki/ggbn:quality,Sample quality estimation based on parameters described at QualityRemarks,"low, medium, high",false,,http://rs.gbif.org/vocabulary/ggbn/quality.xml
