_name,_namespace,_qualName,_dc:description,_required,_examples
identifier,http://purl.org/dc/terms/,http://purl.org/dc/terms/identifier,"An arbitrary code that is unique for the resource, with the resource being either a media item or text description.",true,media1234
taxonID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonID,An identifier for the set of taxon information (data associated with the Taxon class). May be a global unique identifier or an identifier specific to the data set.,,taxon9876
type,http://purl.org/dc/terms/,http://purl.org/dc/terms/type,"Any dcmi type term from http://dublincore.org/documents/dcmi-type-vocabulary/ may be used. Recommended terms are StillImage, Sound, MovingImage and Text.",true,http://purl.org/dc/dcmitype/StillImage
subtype,http://rs.tdwg.org/audubon_core/,http://rs.tdwg.org/audubon_core/subtype,"Any of Drawing, Painting, Illustration, Graphic, Photograph, Map, Animation, Film, SlideShow, Diagram, Map, IdentificationKey, ScannedText, RecordedText, RecordedOrganism, TaxonPage, MultimediaLearningObject, VirtualRealityEnvironment, GlossaryPage.",,Map
format,http://purl.org/dc/terms/,http://purl.org/dc/terms/format,Recommended best practice is to use a controlled vocabulary such as the list of Internet Media Types [MIME].,,image/jpeg
CVterm,http://iptc.org/std/Iptc4xmpExt/1.0/xmlns/,http://iptc.org/std/Iptc4xmpExt/1.0/xmlns/CVterm,"Controlled vocabulary of subjects to support broad classification of media or text item. Terms from various controlled vocabularies may be used, such as the TDWG Species Profile Model (http://rs.tdwg.org/ontology/voc/SPMInfoItems) or the Plinian Core (http://www.gbif.es/plinian/doku.php). For terms from other vocabularies, a precise URI should be preferred over an unqualified term.",,http://rs.tdwg.org/ontology/voc/SPMInfoItems#GeneralDescription
title,http://purl.org/dc/terms/,http://purl.org/dc/terms/title,"Concise title, name, or brief descriptive label of the resource. This field should include the complete title with all the subtitles, if any. Detailed captions for media should be included in the description field.",,
description,http://purl.org/dc/terms/,http://purl.org/dc/terms/description,"An account of the resource. For text descriptions, the entire account should be located here. For media resources, captions should be included here. Recommended to remove all embedded HTML tags and include only plain text.",,
accessURI,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/accessURI,"URI of the resource itself. If this resource can be acquired by an http request, its http URL should be given. If not, but it has some URI in another URI scheme, that may be given here.",,http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Polar_Bear_Habitat.png/669px-Polar_Bear_Habitat.png
thumbnailURL,http://eol.org/schema/media/,http://eol.org/schema/media/thumbnailURL,URL of a thumbnail image associated with the resource.,,http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Polar_Bear_Habitat.png/268px-Polar_Bear_Habitat.png
furtherInformationURL,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/furtherInformationURL,The URL of a Web site that provides additional information about (this version of) the media resource.,,http://commons.wikimedia.org/wiki/File:Polar_Bear_Habitat.png
derivedFrom,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/derivedFrom,A reference to an original resource from which the current one is derived.,,
CreateDate,http://ns.adobe.com/xap/1.0/,http://ns.adobe.com/xap/1.0/CreateDate,The date of the creation for the original resource from which the digital media was derived or created.,,2008-04-21T10:49:15
modified,http://purl.org/dc/terms/,http://purl.org/dc/terms/modified,Most recent date that the resource was altered.,,2008-04-21T10:49:15
language,http://purl.org/dc/terms/,http://purl.org/dc/terms/language,Language of resource itself represented in ISO 639-1 or ISO 639-3,,en
Rating,http://ns.adobe.com/xap/1.0/,http://ns.adobe.com/xap/1.0/Rating,"A rating of the usability of the resource, provided by users or editors, with -1 defining rejected, 0 defining unrated, and 1 (worst) to 5 (best).",,5
audience,http://purl.org/dc/terms/,http://purl.org/dc/terms/audience,A class of entity for whom the resource is intended or useful.,,Everyone
UsageTerms,http://ns.adobe.com/xap/1.0/rights/,http://ns.adobe.com/xap/1.0/rights/UsageTerms,The license statement defining how resources may be used. Information on a collection applies to all contained objects unless the object has a different statement.,true,http://creativecommons.org/licenses/by-nc-sa/3.0/
rights,http://purl.org/dc/terms/,http://purl.org/dc/terms/rights,"Statement of rights associated with the resource. Creative Commons licenses require the resource to be attributed ""in the manner specified by the author or licensor"", and this is where that should be specified.",,Photo by Jane Doe
Owner,http://ns.adobe.com/xap/1.0/rights/,http://ns.adobe.com/xap/1.0/rights/Owner,"A list of the names of the owners of the copyright. 'Unknown' is an acceptable value, but 'Public Domain' is not",,Jane Doe
bibliographicCitation,http://purl.org/dc/terms/,http://purl.org/dc/terms/bibliographicCitation,A bibliographic reference for the resource. Sufficient bibliographic detail should be included to identify the resources as unambiguously as possible.,,
publisher,http://purl.org/dc/terms/,http://purl.org/dc/terms/publisher,An entity responsible for making the resource available.,,
contributor,http://purl.org/dc/terms/,http://purl.org/dc/terms/contributor,An entity responsible for making contributions to the resource.,,
