_name,_namespace,_qualName,_dc:relation,_dc:description,_examples,_thesaurus,_required,_type
type,http://purl.org/dc/terms/,http://purl.org/dc/terms/type,,"The kind of media object. Recommended terms from the DCMI Type Vocabulary are StillImage, Sound or MovingImage for GBIF to index and show the media files.",StillImage,http://rs.gbif.org/vocabulary/dcterms/type.xml,false,
format,http://purl.org/dc/terms/,http://purl.org/dc/terms/format,,"The format the image is exposed in. It is recommended to use a IANA registered media type, but known file suffices are permissible too. See http://www.iana.org/assignments/media-types/media-types.xhtml",image/jpeg,,false,
identifier,http://purl.org/dc/terms/,http://purl.org/dc/terms/identifier,,"The public URL that identifies and locates the media file directly, not the html page it might be shown on. It is highly recommended that a URL to a media file of good resolution is provided or at least dc:reference in cases no public URI exists.",http://farm6.static.flickr.com/5127/5242866958_98afd8cbce_o.jpg,,false,uri
references,http://purl.org/dc/terms/,http://purl.org/dc/terms/references,http://rs.tdwg.org/dwc/terms/index.htm#dcterms:references,An html webpage that shows the image or its metadata. This link should be used for html based image viewers like FSI and should be used as a source link wherever the media item is shown. It is recommended to provide this url even if a media file exists as it will be used for linking out.,http://www.flickr.com/photos/victorsaavedramartinez/1866107071/,,false,uri
title,http://purl.org/dc/terms/,http://purl.org/dc/terms/title,,"The media items title. Strongly recommended as in many cases this will be used as the hyperlink text, and should be used accrodingly.",Andorinha-do-rio (Tachycineta albiventer),,false,
description,http://purl.org/dc/terms/,http://purl.org/dc/terms/description,,A textual description of the content of the media item,"Female Tachycineta albiventer photographed in the Amazon, Brazil, in November 2010.",,false,
created,http://purl.org/dc/terms/,http://purl.org/dc/terms/created,,The date and time this media item was taken,2010-09-29,,false,date
creator,http://purl.org/dc/terms/,http://purl.org/dc/terms/creator,,"The person that took the image, recorded the video or sound",David Remsen,,false,
contributor,http://purl.org/dc/terms/,http://purl.org/dc/terms/contributor,,Any contributor in addition to the creator that helped in recording the media item,Dana Mock,,false,
publisher,http://purl.org/dc/terms/,http://purl.org/dc/terms/publisher,,An entity responsible for making the image available.,Flickr,,false,
audience,http://purl.org/dc/terms/,http://purl.org/dc/terms/audience,,A class or description for whom the image is intended or useful,"""experts"", ""general public"", ""children""",,false,
source,http://purl.org/dc/terms/,http://purl.org/dc/terms/source,,"If the media item was derived or taken from another source this is the reference to that resource. For example a book from which an image was scanned or the original provider of a photo/graphic, such as photography agencies.",,,false,
license,http://purl.org/dc/terms/,http://purl.org/dc/terms/license,,License for this media object. Can be text or a url like creative commons uses,http://creativecommons.org/licenses/by-nc-sa/2.0/deed.en,,false,
rightsHolder,http://purl.org/dc/terms/,http://purl.org/dc/terms/rightsHolder,,A person or organization owning or managing rights over the media item.,,,false,
datasetID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetID,http://rs.tdwg.org/dwc/terms/index.htm#datasetID,An identifier for a subset of data.,,,false,
