_name,_namespace,_qualName,_dc:description,_required,_examples
identifier,http://purl.org/dc/terms/,http://purl.org/dc/terms/identifier,"An identifier for a resource that is referenced, cited, or otherwise pointed to by a taxon or media resource.",true,
publicationType,http://eol.org/schema/reference/,http://eol.org/schema/reference/publicationType,"book, journal, journal article, webpage, etc",,
full_reference,http://eol.org/schema/reference/,http://eol.org/schema/reference/full_reference,A complete bibliographic citation describing the resource. Use of this field will cause the more specific fields here to be ignored.,,
primaryTitle,http://eol.org/schema/reference/,http://eol.org/schema/reference/primaryTitle,Used to describe the title of a bibliographic resource.,,
title,http://purl.org/dc/terms/,http://purl.org/dc/terms/title,Used to describe the title of an artlcle or chapter,,
pages,http://purl.org/ontology/bibo/,http://purl.org/ontology/bibo/pages,"A string of non-contiguous page spans that locate a Document within a Collection. Example: 23-25, 34, 54-56. For continuous page ranges, use the pageStart and pageEnd properties.",,
pageStart,http://purl.org/ontology/bibo/,http://purl.org/ontology/bibo/pageStart,Starting page number within a continuous page range.,,
pageEnd,http://purl.org/ontology/bibo/,http://purl.org/ontology/bibo/pageEnd,Ending page number within a continuous page range.,,
volume,http://purl.org/ontology/bibo/,http://purl.org/ontology/bibo/volume,A volume number.,,
edition,http://purl.org/ontology/bibo/,http://purl.org/ontology/bibo/edition,The name defining a special edition of a document. Normally its a literal value composed of a version number and words.,,
publisher,http://purl.org/dc/terms/,http://purl.org/dc/terms/publisher,Used to link a bibliographic item to its publisher.,,
authorList,http://purl.org/ontology/bibo/,http://purl.org/ontology/bibo/authorList,"An ordered list of authors. Normally, this list is seen as a priority list that order authors by importance. Last name, first",,
editorList,http://purl.org/ontology/bibo/,http://purl.org/ontology/bibo/editorList,"An ordered list of editors. Normally, this list is seen as a priority list that order editors by importance.",,
created,http://purl.org/dc/terms/,http://purl.org/dc/terms/created,The date of the creation for the original resource from which the digital media was derived or created.,,2012-03-08T10:49:15
language,http://purl.org/dc/terms/,http://purl.org/dc/terms/language,Language of resource itself represented in ISO639-1 or ISO639-3.,,
uri,http://purl.org/ontology/bibo/,http://purl.org/ontology/bibo/uri,Universal Resource Identifier of a document.,,
doi,http://purl.org/ontology/bibo/,http://purl.org/ontology/bibo/doi,Digital Object Identifier (DOI) for identifying the resource.,,
localityName,http://schemas.talis.com/2005/address/schema#,http://schemas.talis.com/2005/address/schema#localityName,"Used to name the locality of a publisher, an author, etc.",,
