_name,_namespace,_qualName,_dc:relation,_dc:description,_examples,_required,_thesaurus
identifier,http://purl.org/dc/terms/,http://purl.org/dc/terms/identifier,,"DOI, ISBN, URI, etc refering to the reference. This can be repeated in multiple rows to include multiple identifiers, e.g. a DOI and a URL pointing to a pdf of the article.",doi:10.1038/ng0609-637;  http://www.nature.com/ng/journal/v41/n6/pdf/ng0609-637.pdf,false,
bibliographicCitation,http://purl.org/dc/terms/,http://purl.org/dc/terms/bibliographicCitation,,A text string referring to an un-parsed bibliographic citation.,"Hartge, P., Genetics of reproductive lifespan. Nature Genetics 41, 637 - 638 (2009)",false,
title,http://purl.org/dc/terms/,http://purl.org/dc/terms/title,,Title of book or article,"""Genetics of reproductive lifespan"",  ""Field Guide to Moths of Eastern North America""",false,
creator,http://purl.org/dc/terms/,http://purl.org/dc/terms/creator,,The author or authors of the referenced work,"""Patricia Hartge""",false,
date,http://purl.org/dc/terms/,http://purl.org/dc/terms/date,,"Date of publication, recommended ISO format YYYY or YYYY-MM-DD","""6/1/2009"";  ""2009""",false,
source,http://purl.org/dc/terms/,http://purl.org/dc/terms/source,,"If the reference is part of a larger work, this can be cited here. In case of articles this is the journal, for parts of books the book itself","Nature Genetics 41, 635 (2009)",false,
description,http://purl.org/dc/terms/,http://purl.org/dc/terms/description,,"Abstracts, remarks, notes","""Five genome-wide association studies of the timing of menarche and menopause have now taken us beyond the range of candidate gene and linkage studies. The list of new genetic associations identified for these two traits should shed light on the mechanisms of ovarian aging, as well as breast cancer and other diseases associated with reproductive lifespan.""",false,
subject,http://purl.org/dc/terms/,http://purl.org/dc/terms/subject,,"Semicolon seperated list of keywords. Can include a resource qualifier that specifies the relation of this reference to the taxon, e.g namePublishedIn",genomics; epidemiology,false,
language,http://purl.org/dc/terms/,http://purl.org/dc/terms/language,,ISO 639-1 language code indicating the source language of the referent publication,en,false,http://rs.gbif.org/vocabulary/iso/639-1.xml
rights,http://purl.org/dc/terms/,http://purl.org/dc/terms/rights,,copyright information relating to the referenced publication,"Copyright © 2009 Wiley-Liss, Inc., A Wiley Company",false,
taxonRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonRemarks,,Annotation of taxon-specific information related to the referenced publication.,"""transferred H. nigritarsus to Acanolonia"";  ""Type specimen is a skeleton""",false,
type,http://purl.org/dc/terms/,http://purl.org/dc/terms/type,,Used to assign a bibliographic reference to list of taxonomic or nomenclatural categories. Best practice is to use a controlled vocabulary.,Original publication of new combination (comb nov.),false,http://rs.gbif.org/vocabulary/gbif/reference_type.xml
datasetID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetID,http://rs.tdwg.org/dwc/terms/index.htm#datasetID,An identifier for a subset of data.,,false,
