_name,_namespace,_qualName,_dc:relation,_dc:description,_examples,_required,_thesaurus,_type
project,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/project,,The name or code for the project associated with the relevé,"""Project Bos-Eco-Systemen""",false,,
syntaxonName,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/syntaxonName,http://www.iavs.org/pdf/Code.pdf,The description (not a code) of the plant community or vegetation unit associated with the relevé,"""Littorelletea"", ""Luzulo-Fagetum Meusel 1937""",false,,
aspect,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/aspect,,The compass direction that the relevé site faces,"""N"", ""NE"", ""NNE""",false,http://rs.gbif.org/vocabulary/gbif/direction.xml,
inclinationInDegrees,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/inclinationInDegrees,,"The angle of inclination of the relevé site in degrees, rounded to the nearest whole number","""40""",false,,integer
coverTotalInPercentage,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/coverTotalInPercentage,,"The total cover (%) of all plants, rounded to the nearest hundredth (2 decimal places)","""99"", ""0.01""",false,,decimal
coverTreesInPercentage,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/coverTreesInPercentage,,"The  cover (%) of trees, rounded to the nearest hundredth (2 decimal places)","""70"", ""0.01""",false,,decimal
coverShrubsInPercentage,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/coverShrubsInPercentage,,"The  cover (%) of shrubs, rounded to the nearest hundredth (2 decimal places)","""50"", ""0.01""",false,,decimal
coverHerbsInPercentage,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/coverHerbsInPercentage,,"The  cover (%) of the herb layer, rounded to the nearest hundredth (2 decimal places)","""15"", ""0.01""",false,,decimal
coverCryptogamsInPercentage,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/coverCryptogamsInPercentage,,"The  cover (%) of cryptogams, rounded to the nearest hundredth (2 decimal places)","""15"", ""0.01""",false,,decimal
coverMossesInPercentage,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/coverMossesInPercentage,,"The  cover (%) of mosses, rounded to the nearest hundredth (2 decimal places)","""10"", ""0.01""",false,,decimal
coverLichensInPercentage,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/coverLichensInPercentage,,"The  cover (%) of lichens, rounded to the nearest hundredth (2 decimal places)","""99"", ""0.01""",false,,decimal
coverAlgaeInPercentage,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/coverAlgaeInPercentage,,"The  cover (%) of algae, rounded to the nearest hundredth (2 decimal places)","""1"", ""0.01""",false,,decimal
coverLitterInPercentage,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/coverLitterInPercentage,,"The  cover (%) of litter, rounded to the nearest hundredth (2 decimal places)","""65"", ""0.01""",false,,decimal
coverWaterInPercentage,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/coverWaterInPercentage,,"The  cover (%) of open water, rounded to the nearest hundredth (2 decimal places)","""25"", ""0.01""",false,,decimal
coverRockInPercentage,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/coverRockInPercentage,,"The  cover (%) of bare rock, rounded to the nearest hundredth (2 decimal places)","""55"", ""0.01""",false,,decimal
treeLayerHeightInMeters,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/treeLayerHeightInMeters,,"The height in meters of the tree layer, rounded to the nearest whole number","""19""",false,,integer
shrubLayerHeightInMeters,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/shrubLayerHeightInMeters,,"The height in meters of the shrub layer, can be written in decimal notation","""2.1""",false,,decimal
herbLayerHeightInCentimeters,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/herbLayerHeightInCentimeters,,"The height in centimeters of the high herb layer, rounded to the nearest whole number","""25""",false,,integer
mossesIdentified,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/mossesIdentified,,The value is true if mosses in the releve were identified,"""True"" ""False"", or left empty if unknown",false,http://rs.gbif.org/vocabulary/basic/boolean.xml,
lichensIdentified,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/lichensIdentified,,The value is true if lichens in the releve were identified,"""True"" ""False"", or left empty if unknown",false,http://rs.gbif.org/vocabulary/basic/boolean.xml,
