_name,_namespace,_qualName,_dc:relation,_dc:description,_examples,_required,_thesaurus
isMarine,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/isMarine,,"a boolean flag indicating whether the taxon is a marine organism, i.e. can be found in/above sea water",TRUE,false,
isFreshwater,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/isFreshwater,,"a boolean flag indicating whether the taxon occurrs in freshwater habitats, i.e. can be found in/above rivers or lakes",TRUE,false,
isTerrestrial,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/isTerrestrial,,"a boolean flag indicating the taxon is a terrestial organism, i.e. occurrs on land as opposed to the sea",false,false,
isInvasive,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/isInvasive,,Flag indicating a species known to be invasive/alien in some are of the world. Detailed native and introduced distribution areas can be published with the distribution extension.,TRUE,false,
isHybrid,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/isHybrid,,"Flag indicating a hybrid organism. This does not have to be reflected in the name, but can be based on other studies like chromosome numbers etc",TRUE,false,
isExtinct,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/isExtinct,,Flag indicating an extinct organism. Details about the timeperiod the organism has lived in can be supplied below,TRUE,false,
livingPeriod,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/livingPeriod,,The (geological) time a currently extinct organism is known to have lived. For geological times of fossils ideally based on a vocabulary like http://en.wikipedia.org/wiki/Geologic_column,Cretaceous,false,
ageInDays,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/ageInDays,,Maximum observed age of an organism given as number of days,5,false,
sizeInMillimeters,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/sizeInMillimeters,,"Maximum observed size of an organism in millimeter. Can be either height, length or width, whichever is greater.",1500,false,
massInGrams,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/massInGrams,,Maximum observed weight of an organism in grams.,12,false,
lifeForm,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/lifeForm,,A term describing the growth/lifeform of an organism. Should be based on a vocabulary like Raunkiær for plants: http://en.wikipedia.org/wiki/Raunkiær_plant_life-form. Recommended vocabulary: http://rs.gbif.org/vocabulary/gbif/life_form.xml,Phanerophyte,false,
habitat,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/habitat,,Comma seperated list of mayor habitat classification as defined by IUCN in which a species is known to exist: http://www.iucnredlist.org/static/major_habitats,"""1.1""",false,http://rs.gbif.org/vocabulary/iucn/habitat.xml
sex,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/sex,,Comma seperated list of known sexes to exist for this organism. Recommended vocabulary is: http://rs.gbif.org/vocabulary/gbif/sex.xml,"""Male,Female""",false,
source,http://purl.org/dc/terms/,http://purl.org/dc/terms/source,,"Source reference of this species profile, a URL or full publication citation",,false,
datasetID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetID,http://rs.tdwg.org/dwc/terms/index.htm#datasetID,An identifier for a subset of data.,,false,
