_name,_namespace,_qualName,_thesaurus,_dc:relation,_dc:description,_examples,_required
typeStatus,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/typeStatus,http://rs.gbif.org/vocabulary/gbif/type_status.xml,,"The type status of the specimen, not used for type species or type genus","holotype, syntype, lectotype, type species",false
typeDesignationType,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/typeDesignationType,http://rs.gbif.org/vocabulary/gbif/type_designation_type.xml,,The reason why this specimen or name is designated as a type.,"monotypy, original designation, tautonomy",false
typeDesignatedBy,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/typeDesignatedBy,,,The citation of the publication where the type designation is found,"Vachal, J. (1897) Éclaircissements sur de genre Scrapter et description d’une espéce nouvelle de Dufourea. Bulletin de la Société Entomologique de France, 1897, 61–64.",false
scientificName,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/scientificName,,,In case of type specimens the scientific name originally used on the label. Not necessarily the same as the currently recognized name. In case of type species or genera it should be the species or genus name that typifies the higher taxon.,"Ctenomys sociabilis"" ""Roptrocerus typographi (Györfi, 1952)"" ",false
taxonRank,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonRank,,,The rank of the taxon bearing the scientific name,"species, genus, subspecies",false
bibliographicCitation,http://purl.org/dc/terms/,http://purl.org/dc/terms/bibliographicCitation,,,A text string citating the described specimen. Often found in taxonomic treatments and frequently based on institution code and catalog number.,"Iraq: Mosul: Jabal Khantur prope Sharanish N. Zakho, in fissures rupium calc., 1200 m, Rech. 12083 (W!).",false
occurrenceID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/occurrenceID,,,"An identifier for the specimen, preferably a resolvable globally unique identifier.",,false
institutionCode,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/institutionCode,,,The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.,"""MVZ"", ""FMNH"", ""AKN-CLO"", ""University of California Museum of Paleontology (UCMP)""",false
collectionCode,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/collectionCode,,,"The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.","""Mammals"", ""Hildebrandt"", ""eBird""",false
catalogNumber,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/catalogNumber,,,An identifier (preferably unique) for the record within the data set or collection.,"""2008.1334"", ""145732a"", ""145732""",false
locality,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/locality,,,The location where the the specimen was collected. In case of type specimens the type locality.,"Iraq: Mosul: Jabal Khantur prope Sharanish N. Zakho, in fissures rupium calc., 1200 m",false
sex,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/sex,,,The sex of the specimen being referenced.,male,false
recordedBy,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/recordedBy,,,"The primary collector or observer, especially one who applies a personal identifier (recordNumber), should be listed first.",KH Rechinger,false
source,http://purl.org/dc/terms/,http://purl.org/dc/terms/source,,,,,false
verbatimEventDate,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimEventDate,,,The date when the specimen was collected,"""spring 1910"", ""Marzo 2002"", ""1999-03-XX"", ""17IV1934""",false
verbatimLabel,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/verbatimLabel,,,"The full, verbatim text from the specimen label",,false
verbatimLongitude,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimLongitude,,,The geographic longitude ,121d 10' 34 W,false
verbatimLatitude,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimLatitude,,,The geographic latitude ,41 05 54.03S,false
datasetID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetID,,http://rs.tdwg.org/dwc/terms/index.htm#datasetID,An identifier for a subset of data.,,false
