_name,_namespace,_qualName,_dc:relation,_dc:description,_examples,_required,_thesaurus
vernacularName,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/vernacularName,,A common or vernacular name.,"Andean Condor"", ""Condor Andino"", ""American Eagle"", ""Gänsegeier""",true,
source,http://purl.org/dc/terms/,http://purl.org/dc/terms/source,,Bibliographic citation referencing a source where the vernacular name refers to the cited species.,"""Peterson Field Guide to the Eastern Seashore, Houghton Mifflin Co, 1961, p131""",false,
language,http://purl.org/dc/terms/,http://purl.org/dc/terms/language,,ISO 639-1 language code used for the vernacular name value.,ES,false,http://rs.gbif.org/vocabulary/iso/639-1.xml
temporal,http://purl.org/dc/terms/,http://purl.org/dc/terms/temporal,,temporal context when name is/was used,19th Century; 1950,false,
locationID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/locationID,,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.,,false,
locality,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/locality,,The specific description of the area from which the vernacular name usage originates. Vernacular names may have very specific regional contexts. A name used for a species in one area may refer to a different species in another.,"""Southeastern coastal New England from Buzzards Bay through Rhode Island""",false,
countryCode,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/countryCode,,"The standard code for the country in which the vernacular name is used. Recommended best practice is to use the ISO 3166-1-alpha-2 country codes available as a vocabulary at http://rs.gbif.org/vocabulary/iso/3166-1_alpha2.xml. For multiple countries separate values with a comma "",""","""AR"" for Argentina, ""SV"" for El Salvador. ""AR,CR,SV"" for Argentina, Costa Rica, and El Salvador combined.",false,
sex,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/sex,,"The sex (gender) of the taxon for which the vernacular name applies when the vernacular name is limited to a specific gender of a species. If not limited sex should be empty. For example the vernacular name ""Buck"" applies to the ""Male"" gender of the species, Odocoileus virginianus.",male,false,http://rs.gbif.org/vocabulary/gbif/sex.xml
lifeStage,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/lifeStage,,The age class or life stage of the species for which the vernacular name applies. Best practice is to utilise a controlled list of terms for this value.,"juvenile"" is the life stage of the fish Pomatomus saltatrix for which the name ""snapper blue"" refers.",false,http://rs.gbif.org/vocabulary/gbif/life_stage.xml
isPlural,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/isPlural,,This value is true if the vernacular name it qualifies refers to a plural form of the name.,"The term ""Schoolies"" is the plural form of a name used along the coastal Northeastern U.S. for groups of juvenile fish of the species, Morone saxatilis.",false,http://rs.gbif.org/vocabulary/basic/boolean.xml
isPreferredName,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/isPreferredName,,This term is true if the source citing the use of this vernacular name indicates the usage has some preference or specific standing over other possible vernacular names used for the species.,"Some organisations have attempted to assign specific and unique vernacular names for particular taxon groups in a systematic attempt to bring order and consistency to the use of these names. For example, the American Ornithological Union assigns the name ""Pearl Kite"" for the taxon, Gampsonyx swainsonii. The value of isPreferredName for this record would be true.",false,http://rs.gbif.org/vocabulary/basic/boolean.xml
organismPart,http://rs.gbif.org/terms/1.0/,http://rs.gbif.org/terms/1.0/organismPart,,The part of the organism to which the vernacular name refers. Best practice is to utilise a controlled vocabulary for this term although it is likely that multiple controlled lists for different organism groups may be the best implementation for this term.,"The spice ""Mace"", is derived from the ""aril"" of the plant Myristica fragrans while the spice ""nutmeg"" is derived from the ""seed."" ""Seed"" and ""Aril"" represent two different values for organismPart.",false,
taxonRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/taxonRemarks,,A description of any context that qualify the specific usage of the vernacular name.,This name applies only when the fruit has been blessed by the tribal shaman,false,
datasetID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/datasetID,http://rs.tdwg.org/dwc/terms/index.htm#datasetID,An identifier for a subset of data.,,false,
